2025-11-01 01:26:08 | INFO | utils.file_utils | Logging to C:\claims_agent\claims_text_pipeline\logs\pipeline_20251101_012608.log
2025-11-01 01:26:08 | INFO | utils.file_utils | Imported 100 file(s) from dataset source: C:\claims_agent\dataset into C:\claims_agent\claims_text_pipeline\data\raw
2025-11-01 01:26:08 | INFO | __main__ | Found 100 file(s) to process.
2025-11-01 01:26:08 | INFO | __main__ | Processed and saved: C:\claims_agent\claims_text_pipeline\data\processed\CLM-2025-01-0001_batch1_acord_fnol.pdf.json
2025-11-01 01:26:08 | INFO | __main__ | Processed and saved: C:\claims_agent\claims_text_pipeline\data\processed\CLM-2025-01-0002_batch1_acord_fnol.pdf.json
2025-11-01 01:26:08 | INFO | __main__ | Processed and saved: C:\claims_agent\claims_text_pipeline\data\processed\CLM-2025-01-0003_batch1_acord_fnol.pdf.json
2025-11-01 01:26:08 | INFO | __main__ | Processed and saved: C:\claims_agent\claims_text_pipeline\data\processed\CLM-2025-01-0004_batch1_acord_fnol.pdf.json
2025-11-01 01:26:08 | INFO | __main__ | Processed and saved: C:\claims_agent\claims_text_pipeline\data\processed\CLM-2025-01-0005_batch1_acord_fnol.pdf.json
2025-11-01 01:26:08 | INFO | __main__ | Processed and saved: C:\claims_agent\claims_text_pipeline\data\processed\CLM-2025-01-0006_batch1_acord_fnol.pdf.json
2025-11-01 01:26:08 | INFO | __main__ | Processed and saved: C:\claims_agent\claims_text_pipeline\data\processed\CLM-2025-01-0007_batch1_acord_fnol.pdf.json
2025-11-01 01:26:08 | INFO | __main__ | Processed and saved: C:\claims_agent\claims_text_pipeline\data\processed\CLM-2025-01-0008_batch1_acord_fnol.pdf.json
2025-11-01 01:26:09 | INFO | __main__ | Processed and saved: C:\claims_agent\claims_text_pipeline\data\processed\CLM-2025-01-0009_batch1_acord_fnol.pdf.json
2025-11-01 01:26:09 | INFO | __main__ | Processed and saved: C:\claims_agent\claims_text_pipeline\data\processed\CLM-2025-01-0010_batch1_acord_fnol.pdf.json
2025-11-01 01:26:09 | INFO | __main__ | Processed and saved: C:\claims_agent\claims_text_pipeline\data\processed\CLM-2025-01-0011_batch1_acord_fnol.pdf.json
2025-11-01 01:26:09 | INFO | __main__ | Processed and saved: C:\claims_agent\claims_text_pipeline\data\processed\CLM-2025-01-0012_batch1_acord_fnol.pdf.json
2025-11-01 01:26:09 | INFO | __main__ | Processed and saved: C:\claims_agent\claims_text_pipeline\data\processed\CLM-2025-01-0013_batch1_acord_fnol.pdf.json
2025-11-01 01:26:09 | INFO | __main__ | Processed and saved: C:\claims_agent\claims_text_pipeline\data\processed\CLM-2025-01-0014_batch1_acord_fnol.pdf.json
2025-11-01 01:26:09 | INFO | __main__ | Processed and saved: C:\claims_agent\claims_text_pipeline\data\processed\CLM-2025-01-0015_batch1_acord_fnol.pdf.json
